PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,OPENPRC
90319,07/08/2014,GOOGL,574.00000,587.96997,578.40002,2129924,586.36499
90319,07/09/2014,GOOGL,577.00000,584.09998,583.35999,1373056,578.95001
90319,07/10/2014,GOOGL,572.10010,585.25000,580.03998,1436326,573.00000
90319,07/11/2014,GOOGL,580.57501,588.22998,586.65002,1514265,581.00000
90319,07/14/2014,GOOGL,586.69299,594.85999,594.26001,1954612,590.59998
90319,07/15/2014,GOOGL,585.31000,595.29993,593.06000,1673980,595.15002
90319,07/16/2014,GOOGL,590.25000,597.00000,590.62000,1442211,596.89001
90319,07/17/2014,GOOGL,576.84998,589.50000,580.82001,2943020,588.96997
90319,07/18/2014,GOOGL,590.91998,606.70001,605.10999,4874260,603.01001
90319,07/21/2014,GOOGL,594.45001,604.15997,598.44000,2240111,601.34998
90319,07/22/2014,GOOGL,599.25763,608.89001,603.57001,1881665,599.70001
90319,07/23/2014,GOOGL,601.34998,607.04999,605.19000,1106136,602.04999
90319,07/24/2014,GOOGL,601.00000,608.90997,603.01001,1369174,605.53003
90319,07/25/2014,GOOGL,595.75000,601.00000,598.08002,1361911,599.25000
90319,07/28/2014,GOOGL,592.59003,601.09802,599.02002,1358071,597.75000
90319,07/29/2014,GOOGL,592.16998,598.48999,593.95001,1366729,597.70001
90319,07/30/2014,GOOGL,592.70001,598.45001,595.44000,1215576,595.81000
90319,07/31/2014,GOOGL,577.67999,591.98993,579.54999,2310471,588.96002
90319,08/01/2014,GOOGL,570.29999,583.42999,573.59998,2214144,578.55499
90319,08/04/2014,GOOGL,572.26001,583.82001,582.27002,1524818,576.51001
90319,08/05/2014,GOOGL,570.31000,580.20001,573.14001,1651342,579.38000
90319,08/06/2014,GOOGL,567.45001,578.64398,574.48999,1322878,569.50000
90319,08/07/2014,GOOGL,569.42999,578.31000,571.81000,1163027,576.04999
90319,08/08/2014,GOOGL,569.02002,579.56390,577.94000,1496809,572.02002
90319,08/11/2014,GOOGL,575.29797,579.69000,577.25000,1203357,579.00000
90319,08/12/2014,GOOGL,569.90997,575.90002,572.12000,1394969,575.00000
90319,08/13/2014,GOOGL,575.20001,586.12500,584.56000,1903282,576.45001
90319,08/14/2014,GOOGL,580.91998,587.79999,584.65002,1272879,586.69000
90319,08/15/2014,GOOGL,580.76001,589.46997,583.71002,1725358,587.50000
90319,08/18/2014,GOOGL,586.54999,595.04999,592.70001,1484344,587.09998
90319,08/19/2014,GOOGL,594.44000,597.81000,597.10999,1045258,595.59003
90319,08/20/2014,GOOGL,593.00098,596.98999,595.40997,968617,596.95001
90319,08/21/2014,GOOGL,591.10101,595.25000,592.41998,1133593,594.90002
90319,08/22/2014,GOOGL,589.79999,594.98999,592.53998,877464,593.27002
90319,08/25/2014,GOOGL,589.26001,595.58002,590.57001,1298049,594.77002
90319,08/26/2014,GOOGL,587.45001,592.04999,588.12000,1471953,592.00000
90319,08/27/2014,GOOGL,580.90002,589.37000,583.00000,1368766,587.81000
90319,08/28/2014,GOOGL,577.88000,584.71002,580.32001,1405950,580.02002
90319,08/29/2014,GOOGL,578.23999,582.89990,582.35999,1206884,582.34998
90319,09/02/2014,GOOGL,582.40002,589.29999,588.63000,1585277,582.95001
90319,09/03/2014,GOOGL,586.50000,594.48999,589.52002,1579779,591.72998
90319,09/04/2014,GOOGL,590.59998,598.00000,593.14001,1634589,592.13000
90319,09/05/2014,GOOGL,593.54999,598.50000,597.78003,1799855,595.13000
90319,09/08/2014,GOOGL,598.02307,603.52002,601.63000,1601244,599.14001
90319,09/09/2014,GOOGL,590.47998,600.59998,591.96997,1574573,600.27002
90319,09/10/2014,GOOGL,587.14001,593.71997,593.41998,1160291,591.73999
90319,09/11/2014,GOOGL,586.03998,591.94501,591.10999,1501451,590.00000
90319,09/12/2014,GOOGL,583.28003,591.47998,584.90002,1852271,590.39001
90319,09/15/2014,GOOGL,577.01001,583.91998,581.64001,1551235,582.23999
90319,09/16/2014,GOOGL,580.95001,590.15002,588.78003,1581589,580.95001
90319,09/17/2014,GOOGL,587.12000,596.07001,593.28998,1720921,589.51001
90319,09/18/2014,GOOGL,593.02002,597.56000,597.27002,1494467,595.04999
90319,09/19/2014,GOOGL,597.76001,605.40002,605.40002,4194630,599.48999
90319,09/22/2014,GOOGL,593.12000,603.79999,597.27002,1785101,602.50000
90319,09/23/2014,GOOGL,590.23999,596.65002,591.17999,1405178,595.00000
90319,09/24/2014,GOOGL,590.29999,600.10999,598.41998,1760953,591.57001
90319,09/25/2014,GOOGL,584.73999,598.07001,585.25000,1676485,596.98999
90319,09/26/2014,GOOGL,585.00000,589.57391,587.90002,1289090,585.92999
90319,09/29/2014,GOOGL,581.57001,589.31000,587.81000,1144982,581.83002
90319,09/30/2014,GOOGL,584.50000,591.00000,588.40997,1571944,587.48999
90319,10/01/2014,GOOGL,578.02002,588.71997,579.63000,1449686,586.79999
90319,10/02/2014,GOOGL,574.04999,583.23999,580.88000,1536935,578.00000
90319,10/03/2014,GOOGL,583.50000,588.28998,586.25000,1215093,584.09998
90319,10/06/2014,GOOGL,585.40002,592.40002,587.78003,1286130,589.95001
90319,10/07/2014,GOOGL,574.09998,585.84998,574.09998,1546228,584.90002
90319,10/08/2014,GOOGL,567.64001,584.69000,583.73999,2210360,574.78998
90319,10/09/2014,GOOGL,569.03003,582.53003,570.81000,2413453,581.60999
90319,10/10/2014,GOOGL,555.01001,575.22998,555.19000,2979673,567.46997
90319,10/13/2014,GOOGL,544.42999,560.87500,544.75000,2756508,555.13000
90319,10/14/2014,GOOGL,544.50000,558.63000,548.69000,2610033,550.14001
90319,10/15/2014,GOOGL,528.42200,543.91498,540.72998,3836262,542.08002
90319,10/16/2014,GOOGL,524.95001,540.98999,536.91998,3810589,527.00000
90319,10/17/2014,GOOGL,518.40997,543.45001,522.96997,5998740,540.45001
90319,10/20/2014,GOOGL,519.14001,533.15997,532.38000,2749830,520.45001
90319,10/21/2014,GOOGL,530.20001,538.77002,538.03003,2460140,537.27002
